PTO,ESTE,NORTE
1,807961.251,9157579.649
2,807981.719,9157572.709
3,807974.709,9157586.118
4,807984.479,9157587.805
5,807982.78,9157595.469
6,807983.706,9157610.836
7,807976.371,9157614.503
8,808009.482,9157646.635
9,808014.027,9157604.64
10,808040.1,9157610.335
11,808026.418,9157655.13
12,807997.344,9157660.136
13,808003.754,9157672.849
14,808005.483,9157694.876
15,808038.321,9157666.156
16,808033.341,9157677.192
17,808050.712,9157663.853
18,808052.313,9157613.003
19,808005.155,9157602.702
20,808009.76,9157590.004
21,807995.638,9157589.732
