PTO,ESTE,NORTE
1,807961.251,9157579.649
2,807981.719,9157572.709
3,807974.709,9157586.118
4,807984.479,9157587.805
5,807982.78,9157595.469
6,807983.706,9157610.836
7,807976.371,9157614.503
8,808011.05,9157630.57
9,808014.027,9157604.64
10,808027.693,9157607.625
11,808022.699,9157630.927
12,807988.913,9157643.414
13,808005.755,9157676.819
14,808005.483,9157694.876
15,808038.321,9157666.156
16,808033.341,9157677.192
17,808050.712,9157663.853
18,808052.313,9157613.003
19,808005.155,9157602.702
20,808009.76,9157590.004
21,807995.638,9157589.732
