PTO,ESTE,NORTE
1,807574.514,9157612
2,807563.272,9157639.208
3,807582.076,9157646.39
4,807596.496,9157644.413
5,807617.963,9157622.495
6,807615.857,9157609.566
7,807621.94,9157609.208
8,807629.047,9157607.729
9,807648.079,9157640.243
10,807610.898,9157645.319
11,807603.96,9157652.74
12,807613.826,9157663.748
13,807652.196,9157656.749
14,807664.18,9157655.576
15,807684.365,9157653.599
16,807670.05,9157637.261
17,807691.049,9157637.748
18,807696.609,9157624.647
19,807684.167,9157621.842
20,807683.273,9157614.698
21,807671.814,9157598.824
