,,Block Model
Blast,Grade Block,Name,Grade block name,material,lito,alte,orezonet,au,ag,as,volume,tonnes,onzas,aucn,agcn,ptaucn,s
S212860097,A,,A,M8,SDST,SI1,OXI,0.365,4.838,878.004,3683,8766,103,0.352,0.000,96.487,0.191
S212860097,B,,B,M7,FPD,AR,OXI,0.232,2.170,812.363,4813,9819,73,0.153,0.000,66.008,0.706
S212860097,C,,C,M9,STSD,SI1,OXI,0.940,2.855,995.581,7168,16507,499,0.945,0.000,100.497,0.246
S212860097,D,,D,M5,STSD,AR,OXI,0.289,4.196,651.856,5448,12546,116,0.259,0.000,89.692,0.317
S212860097,E,,E,M5,STSD,AR,OXI,0.893,4.611,1127.569,8300,19116,549,0.777,0.000,87.006,0.373
S212860097,F,,F,D4,FPD,AR,OXI,0.052,0.753,329.301,6575,13413,22,0.036,0.000,69.683,1.052
S212860097,G,,G,M9,STSD,SI1,OXI,0.310,2.168,839.620,5184,11940,119,0.338,0.000,108.784,0.083
S212860097,H,,H,M5,STSD,AR,OXI,0.294,4.025,879.438,8816,20304,192,0.252,0.000,85.614,0.171
S212860097,I,,I,M7,FPD,AR,OXI,0.507,3.722,727.878,12519,25539,416,0.584,0.000,115.276,0.583
S212860097,J,,J,M7,Q,AR,OXI,0.266,7.715,780.806,17735,30505,261,0.232,0.000,87.151,0.395
S212860097,K,,K,D4,FPD,AR,OXI,0.132,4.160,474.856,8036,16393,70,0.058,0.000,43.600,0.845
S212860097,L,,L,M9,STSD,SI1,OXI,0.453,11.492,639.653,7256,16710,243,0.341,0.000,75.337,0.797
S212860097,M,,M,M9,STSD,SI1,OXI,1.146,6.169,913.086,6300,14508,534,0.899,0.000,78.490,0.305
S212860097,N,,N,M9,STSD,SI1,OXI,1.123,23.230,1584.285,38046,87619,3164,1.096,0.000,97.544,0.630
S212860097,O,,O,M3,STSD,SI2,OXI,0.722,31.598,1089.600,9620,22154,514,0.466,0.000,64.516,0.460
S212860097,P,,P,M7,Q,AR,OXI,0.264,2.570,680.892,18408,31662,269,0.217,0.000,82.158,0.085
S212860097,Q,,Q,M5,STSD,AR,OXI,0.347,3.486,738.667,32596,75070,838,0.321,0.000,92.327,0.137
S212860097,R,,R,D2,Q,AR,OXI,0.113,1.669,531.843,9506,16350,59,0.159,0.000,141.399,0.070
