nombre,x,y,z
ruta1,808204.1661,9157349.206,2820.1372
ruta1,808201.136,9157432.172,2828.0494
ruta1,808215.6807,9157434.594,2828.0679
ruta1,808229.0133,9157394.02,2827.6488
ruta1,808239.9218,9157321.954,2831.1405
ruta1,808252.0004,9157258.396,2837.5851
ruta1,808245.1679,9157220.844,2841.3106
ruta1,808234.16,9157177.982,2845.1434
ruta1,808229.605,9157138.155,2849.0617
ruta1,808250.1024,9157076.327,2853.5197
ruta1,808285.7818,9156989.256,2863.009
ruta1,808311.2138,9156927.429,2868.3805
ruta1,808344.617,9156891.773,2868.6802
ruta1,808368.5306,9156880.015,2868.337
ruta1,808418.6355,9156901.256,2867.8266
ruta1,808488.8582,9156936.532,2866.5234
ruta1,808559.84,9156967.256,2863.4821
ruta1,808634.5517,9156991.816,2859.3707
ruta1,808719.352,9156993.716,2852.8897
ruta1,808798.068,9156997.896,2846.0857
ruta1,808877.1643,9156994.096,2838.4637
ruta1,808999.8149,9156964.071,2824.7895
ruta1,809148.5007,9156911.252,2808.6964
ruta1,809284.4103,9156843.392,2800.8841
ruta1,809361.9855,9156797.033,2800.1653
ruta1,809395.4493,9156763.213,2797.1464
ruta1,809476.6298,9156728.119,2786.9582
ruta1,809553.8247,9156720.519,2777.9553
ruta1,809629.8789,9156744.079,2768.3691
ruta1,809678.5535,9156781.698,2760.732
ruta1,809720.7635,9156777.898,2755.1563
ruta1,809726.0873,9156742.939,2750.3828
ruta1,809708.5949,9156701.139,2745.3342
ruta1,809684.6378,9156682.139,2741.5204
ruta1,809650.4135,9156648.319,2735.7975
ruta1,809613.5272,9156638.819,2731.3164
ruta1,809605.1613,9156624,2728.8226
ruta1,809609.3442,9156603.48,2725.4368
ruta1,809646.991,9156593.6,2720.0139
ruta1,809713.1581,9156606.14,2711.986
ruta1,809769.8184,9156617.16,2705.3409
ruta1,809856.0022,9156663.369,2693.7198
ruta1,809898.9293,9156705.663,2686.6331
ruta1,809906.0747,9156745.649,2682.4085
ruta1,809903.9311,9156774.686,2678.8872
ruta1,809877.9511,9156831.484,2674.0535
ruta1,809869.6148,9156854.57,2672.312
ruta1,809871.2821,9156900.744,2668.3248
ruta1,809885.3572,9156927.757,2664.8381
ruta1,809920.846,9156956.318,2658.6098
ruta1,809943.4731,9156969.647,2655.4716
ruta1,809983.7256,9156974.169,2651.7396
ruta1,810034.6962,9156975.835,2647.6297
ruta1,810101.504,9156976.105,2641.187
ruta1,810177.2453,9156966.822,2636.0323
ruta1,810223.9286,9156957.54,2633.4641
ruta1,810230.4549,9156975.122,2632.9
ruta1,810209.9713,9156999.399,2630.3318
ruta1,810162.0429,9157010.737,2626.2416
ruta1,810087.0161,9157046.438,2624.6717
ruta1,810059.6254,9157065.717,2626.1449
ruta1,810019.5565,9157112.991,2628.3729
ruta1,809984.6065,9157162.295,2630.2939
ruta1,809963.6156,9157183.652,2629.4593
ruta1,809919.3116,9157206.414,2633.9975
ruta2,809885.8932,9157234.634,2633.9126
ruta2,808732.8294,9156704.797,2819.9026
ruta2,808691.9452,9156700.303,2824.691
ruta2,808652.0872,9156715.271,2828.9766
ruta2,808595.0028,9156712.652,2835.1166
ruta2,808519.8818,9156706.159,2843.3633
ruta2,808503.2333,9156724.419,2844.1752
ruta2,808490.6454,9156756.475,2843.871
ruta2,808493.4603,9156809.754,2844.0642
ruta2,808527.9754,9156862.504,2844.0761
ruta2,808564.5291,9156905.618,2846.2736
ruta2,808591.329,9156929.152,2848.6338
ruta2,808641.2744,9156958.367,2854.4411
ruta2,808659.9531,9156980.685,2857.1607
ruta2,808649.3803,9156992.432,2858.4284
ruta2,808634.3746,9156991.924,2859.383
ruta2,808484.5724,9156934.74,2866.6721
ruta2,808411.1554,9156896.724,2867.9408
ruta2,808366.8146,9156880.464,2868.3264
ruta2,808343.6272,9156892.659,2868.686
ruta2,808308.6427,9156928.432,2868.3393
ruta2,808278.5103,9157005.403,2860.9675
ruta2,808249.459,9157077.687,2853.2943
ruta2,808230.2354,9157140.221,2848.7361
ruta2,808234.7108,9157180.127,2844.9415
ruta2,808252.2984,9157259.419,2837.506
ruta2,808227.3126,9157394.135,2827.5588
ruta2,808215.4512,9157435.825,2828.0457
ruta2,808200.4888,9157432.808,2828.0558
ruta2,808203.3675,9157348.152,2820.1089
ruta3,808595.7075,9156838.994,2864.0866
ruta3,808637.5453,9156903.568,2863.4133
ruta3,808669.0272,9156953.654,2857.5254
ruta3,808661.9852,9156981.388,2857.2186
ruta3,808638.3738,9156957.38,2854.1107
ruta3,808591.1509,9156930.06,2848.6991
ruta3,808535.0545,9156898.37,2844.2495
ruta3,808495.567,9156862.975,2839.217
ruta3,808416.9922,9156817.277,2833.168
ruta3,808330.1027,9156796.92,2826.0565
ruta3,808270.652,9156819.354,2820.5682
ruta3,808248.202,9156829.74,2819.492
ruta3,808208.2911,9156795.258,2814.4049
ruta3,808187.0884,9156761.608,2811.0258
ruta3,808114.1789,9156800.675,2804.0511
ruta3,808062.2115,9156849.697,2805.279
ruta3,807982.362,9156903.769,2814.8395
ruta3,807935.3835,9156934.096,2817.6384
ruta3,807924.99,9156961.515,2814.4254
ruta3,807907.8996,9157039.833,2812.4327
ruta3,807899.1691,9157156.571,2817.6729
