NOMBRE,ESTE,NORTE
A,807861.887,9157173.568
A,807872.142,9157172.909
A,807874.867,9157208.847
A,807856.185,9157220.264
B,807846.866,9157243.758
B,807864.499,9157241.845
B,807877.264,9157240.46
B,807878.01,9157250.287
C,807852.244,9157273.212
C,807827.749,9157303.66
C,807814.476,9157286.811
D,807882.626,9157304.687
D,807851.218,9157297.523
D,807867.853,9157315.446
D,807848.27,9157329.709
E,807897.807,9157330.587
E,807862.786,9157348.135
E,807868.549,9157369.61
F,807886.423,9157378.955
F,807903.264,9157347.217
F,807907.812,9157346.454
