PTO,ESTE,NORTE
1,807678.556,9157448.698
2,807718.361,9157428.82
3,807746.567,9157403.228
4,807772.003,9157416.531
5,807749.665,9157418.978
6,807736.336,9157441.816
7,807728.216,9157436.516
8,807701.245,9157454.558
9,807690.918,9157458.23
10,807726.707,9157467.667
11,807744.22,9157476.684
12,807751.836,9157457.133
13,807759.682,9157460.357
14,807764.791,9157426.987
15,807791.451,9157426.702
16,807793.804,9157463.808
17,807807.055,9157469.498
18,807814.946,9157459.181
19,807835.06,9157449.509
20,807827.608,9157465.077
21,807820.955,9157478.977
22,807813.152,9157476.315
23,807801.687,9157487.895
24,807789.636,9157500.066
25,807771.001,9157490.472
26,807781.117,9157473.793
