PTO,ESTE,NORTE
1,807723.758,9157487.913
2,807703.039,9157489.449
3,807676.281,9157482.227
4,807654.518,9157485.267
5,807622.129,9157537.452
6,807596.158,9157579.243
7,807594.343,9157600.42
8,807607.714,9157605.877
9,807623.176,9157580.953
10,807617.157,9157575.194
11,807630.651,9157580.953
12,807638.012,9157555.654
13,807654.718,9157556.904
14,807662.618,9157549.009
15,807670.011,9157541.622
16,807653.892,9157532.865
17,807660.208,9157509.576
18,807681.466,9157497.724
19,807715.402,9157496.263
