PTO,ESTE,NORTE
1,807734.477,9157339.816
2,807718.669,9157349.859
3,807727.113,9157356.239
4,807742.088,9157349.897
5,807708.868,9157356.086
6,807709.493,9157366.404
7,807690.962,9157384.922
8,807679.507,9157380.901
9,807653.363,9157404.758
10,807666.775,9157420.821
11,807675.294,9157431.025
12,807721.361,9157445.198
13,807738.284,9157446.462
14,807751.332,9157447.437
15,807785.661,9157413.483
16,807763.666,9157411.188
17,807749.32,9157423.938
18,807714.548,9157421.844
19,807705.84,9157427.118
20,807693.277,9157422.583
21,807699.73,9157400.057
22,807683.398,9157402.544
23,807720.753,9157377.88
24,807743.982,9157385.991
25,807759.947,9157373.555
26,807812.853,9157371.514
