PTO,ESTE,NORTE
1,808375.111,9156667.741
2,808363.446,9156640.021
3,808323.701,9156636.998
4,808327.155,9156621.518
5,808268.286,9156641.61
6,808268.815,9156671.855
7,808260.546,9156670.641
8,808254.632,9156646.873
9,808240.096,9156646.133
10,808227.486,9156672.653
11,808223.957,9156694.389
12,808226.45,9156702.152
13,808269.094,9156685.094
14,808212.006,9156713.544
15,808097.713,9156768.172
16,808089.022,9156763.686
17,808069.031,9156776.362
18,808031.556,9156800.149
19,808024.452,9156789.099
20,808064.548,9156769.027
