PTO,ESTE,NORTE
1,807815.795,9157336.517
2,807840.422,9157369.864
3,807850.936,9157396.577
4,807863.174,9157401.628
5,807835.06,9157449.509
6,807828.507,9157446.082
7,807827.658,9157370.236
8,807809.587,9157340.476
9,807802.844,9157344.777
10,807807.943,9157402.468
11,807794.059,9157428.066
12,807778.176,9157419.759
13,807795.266,9157399.869
14,807783.848,9157392.074
15,807757.589,9157408.993
16,807746.567,9157403.228
17,807754.979,9157395.589
18,807745.913,9157381.087
19,807773.31,9157377.475
20,807775.836,9157362.062
