PTO,ESTE,NORTE
1,807432.372,9157475.698
2,807454.464,9157488.077
3,807430.677,9157502.414
4,807491.035,9157509.518
5,807488.665,9157513.665
6,807460.3,9157511.129
7,807430.79,9157529.269
8,807460.321,9157522.812
9,807492.968,9157526.231
10,807465.901,9157558.402
11,807461.348,9157554.988
12,807458.582,9157571.223
13,807430.941,9157577.913
14,807436.796,9157583.783
15,807441.013,9157588.038
16,807504.546,9157560.245
17,807472.489,9157595.409
18,807514.026,9157588.114
19,807501.565,9157594.399
20,807501.489,9157616.165
21,807526.856,9157625.608
