PTO,ESTE,NORTE
1,807391.083,9157290.614
2,807336.781,9157275.978
3,807304.266,9157310.764
4,807325.672,9157322.092
5,807363.563,9157342.142
6,807288.947,9157336.441
7,807306.378,9157345.225
8,807356.966,9157370.715
9,807336.402,9157390.655
10,807302.585,9157363.51
11,807260.028,9157376.411
12,807277.996,9157383.465
13,807286.458,9157373.938
14,807300.063,9157378.882
15,807313.151,9157408.337
16,807287.936,9157388.547
17,807281.497,9157402.792
18,807267.447,9157398.791
19,807264.993,9157403.809
20,807262.139,9157409.643
21,807298.73,9157423.133
22,807239.518,9157399.513
23,807252.729,9157408.622
24,807249.493,9157412.742
25,807287.901,9157434.396
26,807230.467,9157480.983
27,807248.62,9157480.903
