PTO,ESTE,NORTE
1,807335.796,9157310.888
2,807373.945,9157318.865
3,807384.998,9157288.869
4,807385.391,9157288.3
5,807399.566,9157246.954
6,807358.942,9157207.75
7,807353.056,9157243.581
8,807405.252,9157231.258
9,807387.057,9157222.68
10,807374.094,9157202.845
11,807424.496,9157190.675
12,807382.125,9157183.089
13,807390.294,9157162.988
14,807393.362,9157158.75
15,807395.096,9157150.758
16,807438.73,9157163.257
17,807400.179,9157127.333
18,807426.779,9157129.928
19,807449.605,9157139.011
