nombre,x,y,z
DME-2680,809211.235,9156171.527,2680
DME-2680,809214.646,9156174.476,2680
DME-2680,809214.646,9156174.476,2680
DME-2680,809223.63,9156184.721,2680
DME-2680,809231.676,9156198.484,2680
DME-2680,809234.027,9156207.467,2680
DME-2680,809236.313,9156217.227,2680
DME-2680,809236.385,9156237.759,2680
DME-2680,809235.314,9156253.198,2680
DME-2680,809236.28,9156293.057,2680
DME-2680,809240.617,9156335.348,2680
DME-2680,809248.012,9156367.921,2680
DME-2680,809262.716,9156428.644,2680
DME-2680,809267.469,9156444.027,2680
DME-2680,809287.481,9156519.073,2680
DME-2680,809293.616,9156529.484,2680
DME-2680,809300.862,9156539.277,2680
DME-2680,809312.628,9156533.455,2680
DME-2680,809349.889,9156586.594,2680
DME-2680,809357.147,9156596.911,2680
DME-2680,809352.712,9156602.495,2680
DME-2680,809349.936,9156605.92,2680
DME-2680,809344.086,9156607.765,2680
DME-2680,809339.648,9156612.951,2680
DME-2680,809335.277,9156614.558,2680
DME-2680,809329.303,9156614.215,2680
DME-2680,809325.208,9156613.627,2680
DME-2680,809318.184,9156615.731,2680
DME-2680,809316.521,9156617.568,2680
DME-2680,809309.53,9156616.644,2680
DME-2680,809305.674,9156613.272,2680
DME-2680,809299.149,9156610.184,2680
DME-2680,809292.497,9156604.723,2680
DME-2680,809283.626,9156603.101,2680
DME-2680,809284.073,9156609.395,2680
DME-2680,809280.146,9156613.956,2680
DME-2680,809273.083,9156619.759,2680
DME-2680,809271.073,9156622.297,2680
DME-2680,809261.67,9156622.805,2680
DME-2680,809256.968,9156622.362,2680
DME-2680,809247.601,9156623.191,2680
DME-2680,809235.578,9156625.106,2680
DME-2680,809230.843,9156626.472,2680
DME-2680,809227.394,9156630.666,2680
DME-2680,809218.328,9156627.674,2680
DME-2680,809204.739,9156624.551,2680
DME-2680,809190.63,9156621.382,2680
DME-2680,809178.319,9156614.454,2680
DME-2680,809171.783,9156608.851,2680
DME-2680,809167.183,9156603.599,2680
DME-2680,809160.375,9156590.112,2680
DME-2680,809156.564,9156583.067,2680
DME-2680,809152.372,9156575.503,2680
DME-2680,809144.618,9156559.577,2680
DME-2680,809143.268,9156551.808,2680
DME-2680,809140.95,9156543.525,2680
DME-2680,809139.524,9156536.877,2680
DME-2680,809140.172,9156523.084,2680
DME-2680,809141.279,9156513.618,2680
DME-2680,809141.319,9156493.302,2680
DME-2680,809144.158,9156488.209,2680
DME-2680,809148.584,9156481.4,2680
DME-2680,809151.484,9156469.238,2680
DME-2680,809151.23,9156460.519,2680
DME-2680,809152.916,9156449.154,2680
DME-2680,809157.197,9156445.455,2680
DME-2680,809168.374,9156447.011,2680
DME-2680,809169.366,9156453.409,2680
DME-2680,809173.464,9156458.929,2680
DME-2680,809174.304,9156467.264,2680
DME-2680,809172.778,9156473.136,2680
DME-2680,809175.741,9156482.527,2680
DME-2680,809179.812,9156493.205,2680
DME-2680,809179.563,9156499.82,2680
DME-2680,809185.704,9156497.385,2680
DME-2680,809190.043,9156492.43,2680
DME-2680,809196.864,9156489.375,2680
