nombre,x,y,z
DME-2730,809192.137,9156608.005,2730
DME-2730,809172.489,9156566.752,2730
DME-2730,809150.891,9156499.373,2730
DME-2730,809115.838,9156373.821,2730
DME-2730,809108.438,9156270.541,2730
DME-2730,809111.966,9156225.674,2730
DME-2730,809090.709,9156221.854,2730
DME-2730,809090.979,9156172.121,2730
DME-2730,809104.367,9156140.802,2730
DME-2730,809111.519,9156119.617,2730
DME-2730,809116.298,9156083.638,2730
DME-2730,809093.502,9156092.633,2730
DME-2730,809074.857,9156112.025,2730
DME-2730,809057.706,9156123.7,2730
DME-2730,809040.245,9156156.615,2730
DME-2730,809030.6,9156191.273,2730
DME-2730,809023.512,9156214.6,2730
DME-2730,809023.776,9156244.57,2730
DME-2730,809031.716,9156274.195,2730
DME-2730,809051.549,9156311.609,2730
DME-2730,809031.024,9156322.885,2730
DME-2730,809045.528,9156342.186,2730
DME-2730,809044.351,9156360.937,2730
DME-2730,809027.853,9156368.509,2730
DME-2730,808999.106,9156368.496,2730
DME-2730,808979.428,9156384.903,2730
DME-2730,809004.681,9156410.565,2730
DME-2730,809014.248,9156445.203,2730
DME-2730,809047.498,9156466.636,2730
DME-2730,809092.152,9156538.275,2730
DME-2730,809098.994,9156549.191,2730
DME-2730,809077.954,9156572.016,2730
DME-2730,809015.564,9156580.35,2730
DME-2730,809052.038,9156651.732,2730
DME-2730,809082.029,9156695.241,2730
DME-2730,809108.068,9156728.856,2730
DME-2730,809144.385,9156744.83,2730
DME-2730,809169.536,9156721.649,2730
DME-2730,809199.054,9156702.17,2730
DME-2730,809226.388,9156693.852,2730
DME-2730,809256.498,9156685.661,2730
DME-2730,809192.137,9156608.005,2730
