nombre,x,y,z
DME-2740,809085.7667,9156063.269,2740
DME-2740,809074.921,9156066.733,2740
DME-2740,809062.8455,9156065.225,2740
DME-2740,809051.9776,9156079.407,2740
DME-2740,809026.2576,9156107.26,2740
DME-2740,809016.2953,9156130.193,2740
DME-2740,809014.1821,9156139.547,2740
DME-2740,809017.8048,9156154.635,2740
DME-2740,809006.635,9156217.701,2740
DME-2740,808997.2765,9156221.02,2740
DME-2740,808984.8655,9156229.578,2740
DME-2740,808981.8466,9156253.417,2740
DME-2740,808988.79,9156324.63,2740
DME-2740,808987.2832,9156341.647,2740
DME-2740,808971.5851,9156361.563,2740
DME-2740,808961.3034,9156380.962,2740
DME-2740,808961.0016,9156397.256,2740
DME-2740,808966.1336,9156407.817,2740
DME-2740,808980.942,9156416.07,2740
DME-2740,808994.1916,9156432.743,2740
DME-2740,808999.87,9156441.611,2740
DME-2740,808996.2783,9156475.743,2740
DME-2740,808981.4486,9156526.566,2740
DME-2740,808982.0614,9156531.395,2740
DME-2740,808974.4712,9156532.581,2740
DME-2740,808974.234,9156544.08,2740
DME-2740,808976.0129,9156555.815,2740
DME-2740,808982.4246,9156577.234,2740
DME-2740,808987.1685,9156581.739,2740
DME-2740,808992.9872,9156587.99,2740
DME-2740,809004.9529,9156632.604,2740
DME-2740,809017.6785,9156660.322,2740
DME-2740,809032.9222,9156682.118,2740
DME-2740,809049.0665,9156702.811,2740
DME-2740,809042.9886,9156711.164,2740
DME-2740,809029.6933,9156708.127,2740
DME-2740,809027.604,9156740.781,2740
DME-2740,809029.121,9156745.056,2740
DME-2740,809038.2378,9156783.216,2740
DME-2740,809050.3935,9156794.037,2740
DME-2740,809069.1969,9156793.467,2740
DME-2740,809091.0392,9156793.467,2740
DME-2740,809138.0657,9156785.508,2740
DME-2740,809160.0979,9156775.257,2740
DME-2740,809169.2147,9156765.005,2740
DME-2740,809183.2865,9156728.458,2740
DME-2740,809190.5039,9156718.206,2740
DME-2740,809212.5362,9156707.575,2740
DME-2740,809235.115,9156693.305,2740
DME-2740,809221.1028,9156675.932,2740
DME-2740,809201.9719,9156644.248,2740
DME-2740,809185.4668,9156622.876,2740
DME-2740,809160.5717,9156578.208,2740
DME-2740,809134.4723,9156490.35,2740
DME-2740,809108.6455,9156399.005,2740
DME-2740,809097.2323,9156366.86,2740
DME-2740,809081.0362,9156311.044,2740
DME-2740,809082.1351,9156266.337,2740
DME-2740,809061.8424,9156202.461,2740
DME-2740,809055.987,9156179.781,2740
DME-2740,809058.2491,9156155.098,2740
DME-2740,809068.9939,9156138.517,2740
DME-2740,809090.3023,9156113.73,2740
DME-2740,809089.5482,9156090.931,2740
DME-2740,809088.7336,9156068.444,2740
