nombre,x,y,z,area,volumen,altura
212,810008.3183,9157801.642,2639,35657,213942,6
212,809991.0245,9157810.627,2639,35657,213942,6
212,809924.74,9157821.062,2639,35657,213942,6
212,809891.1437,9157821.062,2639,35657,213942,6
212,809881.5783,9157820.407,2639,35657,213942,6
212,809872.6559,9157827.995,2639,35657,213942,6
212,809865.5194,9157831.472,2639,35657,213942,6
212,809859.9886,9157836.732,2639,35657,213942,6
212,809859.7979,9157865.793,2639,35657,213942,6
212,809861.3678,9157877.489,2639,35657,213942,6
212,809873.9323,9157900.966,2639,35657,213942,6
212,809881.4964,9157913.803,2639,35657,213942,6
212,809895.0199,9157918.452,2639,35657,213942,6
212,809898.7739,9157922.828,2639,35657,213942,6
212,809902.0893,9157947.439,2639,35657,213942,6
212,809903.7908,9157956.209,2639,35657,213942,6
212,809908.6267,9157966.68,2639,35657,213942,6
212,809918.1235,9157979.517,2639,35657,213942,6
212,809920.631,9157982.918,2639,35657,213942,6
212,809924.84,9157991.867,2639,35657,213942,6
212,809932.0939,9158001.264,2639,35657,213942,6
212,809938.562,9158007.486,2639,35657,213942,6
212,809960.7714,9158018.583,2639,35657,213942,6
212,809975.7269,9158022.969,2639,35657,213942,6
212,809993.1389,9158026.205,2639,35657,213942,6
212,810023.4082,9158030.053,2639,35657,213942,6
212,810041.1399,9158032.917,2639,35657,213942,6
212,810055.2267,9158037.046,2639,35657,213942,6
212,810077.1268,9158039.842,2639,35657,213942,6
212,810076.402,9158018.111,2639,35657,213942,6
212,810077.8835,9157984.024,2639,35657,213942,6
212,810074.6368,9157962.702,2639,35657,213942,6
212,810071.8352,9157941.171,2639,35657,213942,6
212,810067.7685,9157915.626,2639,35657,213942,6
212,810063.5727,9157901.091,2639,35657,213942,6
212,810049.1674,9157874.085,2639,35657,213942,6
212,810034.4947,9157847.582,2639,35657,213942,6
212,810028.5626,9157831.949,2639,35657,213942,6
212,810024.9172,9157815.009,2639,35657,213942,6
212,810022.5445,9157805.576,2639,35657,213942,6
212,810018.6357,9157796.847,2639,35657,213942,6
