nombre,x,y,z,area,volumen,altura
232,809963.597,9157669.803,2645,12502,75012,6
232,809967.0864,9157686.568,2645,12502,75012,6
232,809972.8352,9157712.576,2645,12502,75012,6
232,809971.974,9157711.027,2645,12502,75012,6
232,809971.034,9157709.176,2645,12502,75012,6
232,809970.181,9157707.744,2645,12502,75012,6
232,809967.677,9157704.909,2645,12502,75012,6
232,809965.871,9157704.034,2645,12502,75012,6
232,809964.324,9157702.691,2645,12502,75012,6
232,809962.291,9157701.932,2645,12502,75012,6
232,809960.357,9157701.113,2645,12502,75012,6
232,809956.128,9157700.16,2645,12502,75012,6
232,809954.185,9157699.553,2645,12502,75012,6
232,809949.752,9157699.315,2645,12502,75012,6
232,809947.667,9157699.761,2645,12502,75012,6
232,809945.57,9157700.088,2645,12502,75012,6
232,809941.61,9157701.547,2645,12502,75012,6
232,809936.885,9157702.041,2645,12502,75012,6
232,809934.794,9157702.375,2645,12502,75012,6
232,809932.695,9157701.944,2645,12502,75012,6
232,809930.7,9157701.326,2645,12502,75012,6
232,809928.593,9157701.571,2645,12502,75012,6
232,809926.572,9157701.92,2645,12502,75012,6
232,809924.5,9157702.247,2645,12502,75012,6
232,809922.467,9157702.11,2645,12502,75012,6
232,809920.402,9157701.934,2645,12502,75012,6
232,809918.397,9157701.462,2645,12502,75012,6
232,809916.392,9157700.906,2645,12502,75012,6
232,809914.422,9157700.437,2645,12502,75012,6
232,809912.231,9157700.516,2645,12502,75012,6
232,809910.093,9157700.713,2645,12502,75012,6
232,809907.96,9157700.185,2645,12502,75012,6
232,809905.912,9157699.943,2645,12502,75012,6
232,809903.811,9157700.11,2645,12502,75012,6
232,809901.72,9157700.032,2645,12502,75012,6
232,809899.645,9157700.252,2645,12502,75012,6
232,809897.483,9157700.581,2645,12502,75012,6
232,809895.551,9157699.919,2645,12502,75012,6
232,809893.434,9157699.837,2645,12502,75012,6
232,809891.413,9157700.006,2645,12502,75012,6
232,809889.42,9157699.709,2645,12502,75012,6
232,809887.273,9157699.883,2645,12502,75012,6
232,809885.159,9157699.853,2645,12502,75012,6
232,809883.022,9157699.632,2645,12502,75012,6
232,809880.911,9157700.017,2645,12502,75012,6
232,809878.766,9157700.421,2645,12502,75012,6
232,809876.755,9157700.286,2645,12502,75012,6
232,809874.763,9157700.482,2645,12502,75012,6
232,809872.687,9157700.823,2645,12502,75012,6
232,809870.735,9157700.363,2645,12502,75012,6
232,809868.724,9157700.054,2645,12502,75012,6
232,809866.673,9157700.204,2645,12502,75012,6
232,809864.549,9157700.177,2645,12502,75012,6
232,809862.456,9157700.465,2645,12502,75012,6
232,809860.2,9157700.597,2645,12502,75012,6
232,809858.143,9157700.866,2645,12502,75012,6
232,809856.017,9157700.905,2645,12502,75012,6
232,809853.992,9157700.651,2645,12502,75012,6
