nombre,x,y,z
ruta01,810219.68,9156960.875,2633.881
ruta01,810229.212,9156967.314,2633.45
ruta01,810233.571,9156977.699,2632.849
ruta01,810234.769,9156988.229,2632.353
ruta01,810223.887,9156996.775,2631.479
ruta02,810223.887,9156996.775,2631.479
ruta02,810193.849,9157005.268,2628.934
ruta02,810146.921,9157019.396,2625.134
ruta02,810104.645,9157035.49,2624.306
ruta02,810077.028,9157048.966,2624.924
ruta02,810057.878,9157066.615,2626.234
ruta02,810028.7,9157099.584,2627.778
ruta02,810005.868,9157126.838,2629.098
ruta02,809987.838,9157142.958,2630.347
ruta02,809937.66,9157161.178,2635.921
ruta02,809895.29,9157170.329,2640.113
ruta02,809827.059,9157202.558,2639.492
ruta02,809777.737,9157246.047,2638.857
ruta02,809754.318,9157312.528,2640.731
ruta02,809747.29,9157362.028,2645.168
ruta02,809721.618,9157465.241,2645.481
ruta02,809713.844,9157532.088,2645.528
ruta02,809709.977,9157619.443,2645.042
ruta03,809722.874,9156735.506,2749.486
ruta03,809718.787,9156723.274,2747.997
ruta03,809700.905,9156694.59,2744.16
ruta03,809673.716,9156666.228,2739.203
ruta03,809644.043,9156643.785,2734.892
ruta03,809619.078,9156634.662,2731.259
ruta04,809633.055,9156595.085,2721.966
ruta04,809644.55,9156592.994,2720.471
ruta04,809689.362,9156599.793,2714.857
ruta04,809738.165,9156608.573,2709.13
ruta04,809780.935,9156622.799,2703.951
ruta04,809834.725,9156651.162,2696.876
ruta04,809875.197,9156676.452,2690.976
ruta04,809892.981,9156692.918,2688.177
ruta04,809900.831,9156707.476,2686.42
ruta04,809904.699,9156720.41,2685.123
ruta04,809909.582,9156745.044,2682.509
ruta04,809905.479,9156770.87,2679.397
ruta04,809890.588,9156804.583,2675.877
ruta04,809873.864,9156840.691,2673.422
ruta04,809870.079,9156864.862,2671.626
ruta04,809870.941,9156893.152,2669.087
ruta04,809875.016,9156912.74,2666.869
ruta04,809891.128,9156929.696,2664.199
ruta04,809919.673,9156954.725,2658.878
ruta04,809958.207,9156971.169,2653.999
ruta04,809993.514,9156975.183,2650.828
ruta04,810010.041,9156975.802,2649.426
ruta04,810021.349,9156976.225,2648.466
ruta04,810032.657,9156976.648,2647.507
ruta04,810054.156,9156975.323,2645.64
ruta04,810108.969,9156973.326,2640.411
ruta04,810170.666,9156964.956,2636.251
ruta04,810191.294,9156961.88,2635.366
ruta04,810219.68,9156960.875,2633.881
ruta05,809684.652,9156781.609,2759.954
ruta05,809666.712,9156769.507,2762.796
ruta05,809627.218,9156740.284,2768.931
ruta05,809585.566,9156721.839,2774.438
ruta05,809550.945,9156720.182,2778.316
ruta05,809489.712,9156727.676,2785.607
ruta05,809434.619,9156740.959,2792.226
ruta05,809421.563,9156746.344,2793.876
ruta05,809401.551,9156757.379,2796.367
ruta05,809383.659,9156774.911,2798.744
ruta05,809354.677,9156801.575,2800.225
ruta05,809310.157,9156833.18,2800.537
ruta05,809273.738,9156851.095,2800.952
ruta05,809215.659,9156870.903,2802.849
ruta05,809150.377,9156905.024,2808.413
ruta05,809050.659,9156949.295,2819.492
ruta05,808987.771,9156973.304,2826.374
ruta05,808916.229,9156990.861,2834.344
ruta05,808824.983,9156997.466,2843.734
ruta05,808725.771,9156994.243,2852.327
ruta05,808689.035,9156993.317,2855.233
ruta06,809684.652,9156781.609,2759.954
ruta06,809701.302,9156784.275,2757.832
ruta06,809715.499,9156776.881,2755.44
ruta06,809724.505,9156766.062,2753.402
ruta06,809726.96,9156747.739,2750.976
ruta06,809722.874,9156735.506,2749.486
ruta07,809619.078,9156634.662,2731.259
ruta07,809606.252,9156625.102,2728.987
ruta07,809601.953,9156613.917,2727.41
ruta07,809606.72,9156603.238,2725.895
ruta07,809620.035,9156597.866,2723.67
ruta07,809633.055,9156595.085,2721.966
ruta08,809147.03,9156385.399,2695.281
ruta08,809168.195,9156342.378,2690.077
ruta08,809171.097,9156335.999,2689.141
ruta08,809172.181,9156329.716,2688.29
ruta08,809171.923,9156323.453,2687.453
ruta08,809170.8,9156317.137,2686.596
ruta08,809169.289,9156310.689,2685.711
ruta08,809167.868,9156304.036,2684.803
ruta08,809167.012,9156297.101,2683.87
ruta08,809167.201,9156289.808,2682.895
ruta08,809168.909,9156282.083,2681.839
ruta08,809172.613,9156273.849,2680.633
ruta08,809178.791,9156265.031,2679.195
ruta08,809196.02,9156230.681,2679.663
ruta09,809147.03,9156385.399,2695.281
ruta09,809156.275,9156384.735,2694.438
ruta09,809164.419,9156389.172,2693.596
ruta09,809171.295,9156397.79,2692.594
ruta09,809176.739,9156409.669,2691.407
ruta09,809195.378,9156469.308,2690.652
ruta09,809239.861,9156550.255,2689.037
ruta09,809264.06,9156583.54,2689.401
ruta10,809114.538,9156431.761,2701.98
ruta10,809126.916,9156430.235,2700.516
ruta10,809145.76,9156434.697,2700.394
ruta11,809114.538,9156431.761,2701.98
ruta11,809125.891,9156405.714,2697.976
ruta11,809136.847,9156392.085,2696.387
ruta11,809147.03,9156385.399,2695.281
ruta12,809075.096,9156498.348,2710.272
ruta12,809103.502,9156538.145,2710.18
ruta12,809157.53,9156616.63,2710.441
ruta12,809191.566,9156653.715,2709.947
ruta13,809075.096,9156498.348,2710.272
ruta13,809092.795,9156484.694,2708.292
ruta13,809105.407,9156454.306,2704.485
ruta13,809114.538,9156431.761,2701.98
ruta14,808997.276,9156143.475,2750
ruta14,808992.312,9156188.078,2743.695
ruta14,808994.731,9156217.757,2740.448
ruta14,809008.129,9156264.299,2735.671
ruta14,809051.272,9156318.581,2728.361
ruta14,809069.458,9156355.322,2724.582
ruta14,809068.036,9156393.688,2720.996
ruta14,809062.859,9156434.037,2716.979
ruta14,809064.108,9156482.399,2711.99
ruta14,809075.096,9156498.348,2710.272
ruta15,808968.712,9156135.071,2751.782
ruta15,808959.698,9156152.449,2753.564
ruta15,808941.676,9156198.117,2758.487
ruta15,808921.131,9156254.082,2765.224
ruta15,808897.543,9156331.536,2774.567
ruta15,808879.771,9156395.746,2782.238
ruta15,808858.879,9156447.111,2788.458
ruta15,808842.616,9156490.477,2793.427
ruta15,808834.873,9156525.64,2797.458
ruta15,808831.126,9156561.437,2801.875
ruta15,808830.615,9156581.98,2804.309
ruta15,808817.676,9156602.339,2806.83
ruta15,808803.64,9156616.909,2809.177
ruta15,808789.605,9156631.479,2811.524
ruta15,808764.06,9156651.068,2814.712
ruta15,808725.751,9156679.775,2820.013
ruta15,808691.986,9156702.025,2824.77
ruta15,808670.635,9156711.874,2827.435
ruta15,808642.175,9156716.175,2829.956
ruta15,808605.308,9156712.324,2833.953
ruta15,808572.597,9156708.984,2837.992
ruta15,808535.478,9156707.007,2841.742
ruta15,808513.251,9156707.94,2844.016
ruta16,808968.712,9156135.071,2751.782
ruta16,808978.917,9156125.209,2750.587
ruta16,808985.441,9156124.601,2750.054
ruta16,808992.998,9156130.07,2750.033
ruta16,808997.276,9156143.475,2750
ruta17,808689.035,9156993.317,2855.233
ruta17,808649.937,9156992.655,2858.387
ruta18,808689.035,9156993.317,2855.233
ruta18,808655.515,9156974.867,2856.484
ruta18,808651.797,9156970.305,2855.981
ruta18,808619.726,9156947.711,2852.034
ruta18,808583.84,9156924.857,2848.141
ruta19,808649.937,9156992.655,2858.387
ruta19,808655.186,9156992.194,2857.992
ruta19,808659.841,9156991.101,2857.665
ruta19,808663.414,9156988.687,2857.465
ruta19,808661.644,9156983.719,2857.332
ruta19,808659.232,9156979.429,2856.988
ruta19,808655.515,9156974.867,2856.484
ruta20,808583.84,9156924.857,2848.141
ruta20,808551.131,9156888.965,2845.175
ruta20,808533.053,9156867.053,2844.158
ruta20,808524.243,9156853.5,2844.215
ruta20,808504.857,9156815.853,2843.703
ruta20,808489.074,9156788.718,2843.757
ruta20,808491.188,9156756.677,2843.869
ruta20,808501.423,9156732.761,2843.954
ruta20,808513.251,9156707.94,2844.016
ruta21,808513.251,9156707.94,2844.016
ruta21,808488.765,9156700.48,2846.01
ruta21,808452.27,9156684.708,2849.269
ruta21,808417.133,9156659.59,2852
ruta21,808386.25,9156615.79,2852
ruta21,808366.1,9156599.429,2854.607
ruta21,808349.39,9156588.206,2856.628
ruta21,808319.492,9156571.73,2860
ruta21,808276.644,9156563.902,2861.676
ruta21,808234.005,9156557.203,2863.405
ruta21,808227.552,9156557.574,2863.666
ruta21,808221.213,9156559.398,2863.93
ruta21,808215.357,9156562.619,2864.197
ruta21,808210.292,9156567.112,2864.467
ruta21,808206.27,9156572.716,2864.742
ruta21,808197.887,9156591.302,2865.555
ruta21,808190.259,9156603.685,2866.136
ruta21,808183.049,9156613.248,2866.616
ruta21,808156.589,9156640.049,2868
ruta21,808074,9156687.81,2871.926
ruta21,808048.903,9156706.27,2873.172
ruta21,807983.547,9156739.538,2874.896
ruta21,807924.168,9156777.238,2876.431
ruta21,807896.592,9156796.146,2876.92
ruta21,807864.912,9156823.38,2877.874
ruta21,807836.875,9156845.361,2878.822
ruta21,807822.096,9156865.522,2880.241
ruta21,807806.461,9156892.351,2882.735
ruta22,808513.251,9156707.94,2844.016
ruta22,808593.719,9156727.594,2850
ruta22,808660.729,9156765.06,2850
ruta22,808695.178,9156808.127,2850
ruta22,808724.639,9156879.318,2850
ruta23,808188.488,9157430.693,2814.064
ruta23,808191.069,9157445.736,2815.62
ruta23,808199.228,9157457.789,2817.05
