nombre,x,y,z
ruta01,809709.977,9157619.443,2650.9967
ruta01,809713.844,9157532.088,2651.3483
ruta01,809721.618,9157465.241,2651.7472
ruta01,809747.29,9157362.028,2652.3579
ruta01,809754.318,9157312.528,2646.2728
ruta01,809777.737,9157246.047,2645.7943
ruta01,809827.059,9157202.558,2645.6455
ruta01,809895.29,9157170.329,2641.5258
ruta01,809937.66,9157161.178,2640.8067
ruta01,809987.838,9157142.958,2636.3061
ruta01,810005.868,9157126.838,2636.5502
ruta01,810028.7,9157099.584,2634.9649
ruta01,810057.878,9157066.615,2626.2335
ruta01,810077.028,9157048.966,2624.9237
ruta01,810104.645,9157035.49,2624.3059
ruta01,810146.921,9157019.396,2625.1336
ruta01,810193.849,9157005.268,2628.9337
ruta01,810223.887,9156996.775,2631.4793
ruta01,810223.887,9156996.775,2632.3532
ruta01,810234.769,9156988.229,2632.8491
ruta01,810233.571,9156977.699,2633.4502
ruta01,810229.212,9156967.314,2633.8815
ruta01,810219.68,9156960.875,2635.3662
ruta01,810191.294,9156961.88,2636.2513
ruta01,810170.666,9156964.956,2641.8066
ruta01,810108.969,9156973.326,2645.6047
ruta01,810054.156,9156975.323,2647.7966
ruta01,810032.657,9156976.648,2648.547
ruta01,810021.349,9156976.225,2649.5224
ruta01,810010.041,9156975.802,2650.8276
ruta01,809993.514,9156975.183,2658.8761
ruta01,809958.207,9156971.169,2660.0456
ruta01,809919.673,9156954.725,2664.1527
ruta01,809891.128,9156929.696,2666.8689
ruta01,809875.016,9156912.74,2669.0869
ruta01,809870.941,9156893.152,2671.626
ruta01,809870.079,9156864.862,2673.4221
ruta01,809873.864,9156840.691,2675.8769
ruta01,809890.588,9156804.583,2679.3967
ruta01,809905.479,9156770.87,2682.509
ruta01,809909.582,9156745.044,2685.1229
ruta01,809904.699,9156720.41,2686.42
ruta01,809900.831,9156707.476,2688.1774
ruta01,809892.981,9156692.918,2690.9755
ruta01,809875.197,9156676.452,2696.8762
ruta01,809834.725,9156651.162,2703.9509
ruta01,809780.935,9156622.799,2709.1303
ruta01,809738.165,9156608.573,2714.857
ruta01,809689.362,9156599.793,2720.4712
ruta01,809644.55,9156592.994,2722.0519
ruta01,809633.055,9156595.085,2723.6701
ruta01,809620.035,9156597.866,2725.8955
ruta01,809606.72,9156603.238,2727.4102
ruta01,809601.953,9156613.917,2728.9875
ruta01,809606.252,9156625.102,2731.2594
ruta01,809619.078,9156634.662,2734.8922
ruta01,809644.043,9156643.785,2739.2027
ruta01,809673.716,9156666.228,2744.1598
ruta01,809700.905,9156694.59,2747.9972
ruta01,809718.787,9156723.274,2749.3761
ruta01,809722.874,9156735.506,2750.9758
ruta01,809726.96,9156747.739,2753.4022
ruta01,809724.505,9156766.062,2755.4403
ruta01,809715.499,9156776.881,2757.8318
ruta01,809701.302,9156784.275,2759.9544
ruta01,809684.652,9156781.609,2762.7959
ruta01,809666.712,9156769.507,2768.9309
ruta01,809627.218,9156740.284,2774.4376
ruta01,809585.566,9156721.839,2778.3158
ruta01,809550.945,9156720.182,2785.6074
ruta01,809489.712,9156727.676,2792.2258
ruta01,809434.619,9156740.959,2793.8757
ruta01,809421.563,9156746.344,2796.3668
ruta01,809401.551,9156757.379,2798.7435
ruta01,809383.659,9156774.911,2800.243
ruta01,809354.677,9156801.575,2800.6421
ruta01,809310.157,9156833.18,2800.9516
ruta01,809273.738,9156851.095,2802.8488
ruta01,809215.659,9156870.903,2808.4132
ruta01,809150.377,9156905.024,2819.4921
ruta01,809050.659,9156949.295,2826.3739
ruta01,808987.771,9156973.304,2834.3445
ruta01,808916.229,9156990.861,2843.7337
ruta01,808824.983,9156997.466,2852.3275
ruta01,808725.771,9156994.243,2855.2328
ruta01,808689.035,9156993.317,2858.507
ruta01,808648.1775,9156995.449,2863.1385
ruta01,808565.5012,9156968.147,2866.1235
ruta01,808496.7106,9156941.608,2867.8914
ruta01,808410.6481,9156900.955,2868.468
ruta01,808371.7166,9156883.251,2868.588
ruta01,808341.4832,9156889.841,2867.9098
ruta01,808303.2036,9156938.771,2863.1555
ruta01,808286.4785,9156988.197,2858.7692
ruta01,808271.493,9157026.541,2852.9086
ruta01,808244.5874,9157086.507,2849.8681
ruta01,808228.953,9157130.118,2845.4349
ruta01,808233.3161,9157175.183,2839.9444
ruta01,808250.0312,9157236.305,2836.9105
