nombre,x,y,z
STOCK-5-2830,808646.294,9156756.576,2830
STOCK-5-2830,808646.604,9156758.282,2830
STOCK-5-2830,808646.658,9156758.655,2830
STOCK-5-2830,808646.7,9156759.009,2830
STOCK-5-2830,808647.53,9156760.704,2830
STOCK-5-2830,808647.408,9156762.591,2830
STOCK-5-2830,808647.348,9156764.254,2830
STOCK-5-2830,808647.299,9156764.588,2830
STOCK-5-2830,808647.615,9156766.243,2830
STOCK-5-2830,808647.64,9156766.591,2830
STOCK-5-2830,808647.745,9156766.913,2830
STOCK-5-2830,808648.179,9156768.707,2830
STOCK-5-2830,808648.103,9156770.424,2830
STOCK-5-2830,808648.19,9156770.76,2830
STOCK-5-2830,808648.292,9156771.103,2830
STOCK-5-2830,808648.54,9156773.011,2830
STOCK-5-2830,808648.627,9156773.34,2830
STOCK-5-2830,808648.845,9156773.665,2830
STOCK-5-2830,808649.606,9156775.34,2830
STOCK-5-2830,808650.085,9156778.587,2830
STOCK-5-2830,808649.982,9156780.312,2830
STOCK-5-2830,808649.992,9156780.624,2830
STOCK-5-2830,808650.025,9156780.921,2830
STOCK-5-2830,808650.013,9156782.73,2830
STOCK-5-2830,808650.082,9156783.064,2830
STOCK-5-2830,808649.977,9156784.83,2830
STOCK-5-2830,808650.383,9156786.578,2830
STOCK-5-2830,808650.42,9156786.897,2830
STOCK-5-2830,808650.458,9156787.234,2830
STOCK-5-2830,808649.705,9156789.018,2830
STOCK-5-2830,808649.601,9156790.849,2830
STOCK-5-2830,808653.654,9156796.916,2830
STOCK-5-2830,808654.948,9156794.616,2830
STOCK-5-2830,808656.424,9156794.102,2830
STOCK-5-2830,808657.603,9156793.662,2830
STOCK-5-2830,808658.006,9156793.585,2830
STOCK-5-2830,808659.677,9156793.033,2830
STOCK-5-2830,808660.127,9156792.923,2830
STOCK-5-2830,808660.911,9156792.74,2830
STOCK-5-2830,808661.317,9156792.656,2830
STOCK-5-2830,808663.074,9156792.242,2830
STOCK-5-2830,808663.823,9156792.223,2830
STOCK-5-2830,808665.906,9156791.964,2830
STOCK-5-2830,808666.263,9156791.852,2830
STOCK-5-2830,808666.981,9156791.781,2830
STOCK-5-2830,808667.374,9156791.752,2830
STOCK-5-2830,808667.765,9156791.758,2830
STOCK-5-2830,808669.399,9156791.697,2830
STOCK-5-2830,808669.998,9156791.814,2830
STOCK-5-2830,808670.29,9156791.888,2830
STOCK-5-2830,808672.476,9156792.907,2830
STOCK-5-2830,808672.654,9156792.953,2830
STOCK-5-2830,808672.823,9156793.003,2830
STOCK-5-2830,808675.13,9156793.378,2830
STOCK-5-2830,808675.529,9156793.547,2830
STOCK-5-2830,808677.056,9156793.921,2830
STOCK-5-2830,808677.397,9156794.071,2830
STOCK-5-2830,808677.57,9156794.082,2830
STOCK-5-2830,808679.856,9156795.39,2830
