PTO,ESTE,NORTE
1,808070.691,9157402.742
2,808091.462,9157424.412
3,808099.411,9157432.708
4,808119.457,9157453.623
5,808074.747,9157435.456
6,808089.685,9157442.172
7,808079.2,9157446.194
8,808087.333,9157456.971
9,808117.935,9157464.727
10,808104.5,9157468.935
11,808076.421,9157478.865
12,808068.218,9157476.929
13,808062.39,9157491.152
14,808055.648,9157490.469
15,808080.071,9157487.838
16,808093.985,9157506.041
17,808069.846,9157500.119
18,808052.042,9157512.058
19,808084.974,9157520.607
20,808064.796,9157526.978
21,808088.892,9157524.074
22,808107.542,9157515.866
23,808099.454,9157531.308
24,808058.144,9157538.406
25,808053.038,9157541.395
26,808076.266,9157628.397
