PTO,ESTE,NORTE
1,808129.171,9157110.776
2,808133.792,9157168.097
3,808127.446,9157169.978
4,808111.935,9157193.099
5,808104.017,9157197.653
6,808097.149,9157243.946
7,808128.671,9157250.389
8,808160.577,9157243.91
9,808166.848,9157272.422
10,808147.888,9157274.497
11,808113.972,9157269.399
12,808096.686,9157255.974
13,808098,9157286.116
14,808124.322,9157287.089
15,808147.589,9157281.731
16,808145.869,9157323.31
17,808135.745,9157327.437
18,808134.492,9157341.576
19,808119.492,9157355.582
20,808119.182,9157361.979
21,808105.078,9157370.095
22,808144.881,9157347.193
