PTO,ESTE,NORTE
1,807913.318,9157381.817
2,807898.318,9157377.59
3,807869.231,9157418.129
4,807868.459,9157429.035
5,807887.082,9157431.802
6,807848.215,9157458.303
7,807854.905,9157468.772
8,807849.32,9157489.626
9,807826.297,9157490.128
10,807868.17,9157486.861
11,807866.963,9157499.478
12,807837.453,9157499.295
13,807842.066,9157522.551
14,807851.891,9157522.635
15,807869.641,9157524.607
16,807818.974,9157540.033
17,807849.955,9157547.65
18,807853.749,9157574.992
19,807883.546,9157575.737
20,807888.866,9157587.123
21,807897.486,9157586.91
22,807901.423,9157596.381
23,807859.815,9157592.55
24,807847.365,9157591.061
25,807848.471,9157542.259
