PTO,ESTE,NORTE
1,807706.385,9157377.629
2,807707.887,9157411.164
3,807680.33,9157397.21
4,807685.41,9157405.031
5,807672.237,9157415.943
6,807679.325,9157425.646
7,807651.367,9157415.949
8,807658.135,9157430.049
9,807674.135,9157439.053
10,807643.163,9157440.645
11,807655.169,9157441.886
12,807652.837,9157458.395
13,807635.116,9157449.862
14,807636.715,9157457.369
15,807639.362,9157469.794
16,807679.077,9157482.839
17,807681.482,9157484.272
18,807677.551,9157492.291
19,807674.064,9157502.487
20,807686.464,9157502.229
21,807697.263,9157502.005
22,807703.632,9157497.472
