PTO,ESTE,NORTE
1,807477.952,9157549.376
2,807478.017,9157566.809
3,807479.391,9157570.03
4,807485.92,9157566.319
5,807493.648,9157556.898
6,807506.193,9157562.938
7,807492.834,9157578.384
8,807486.774,9157586.823
9,807544.207,9157581.221
10,807530.173,9157594.094
11,807526.697,9157602.147
12,807518.073,9157609.115
13,807516.712,9157616.126
14,807506.414,9157625.25
15,807511.525,9157634.119
16,807534.676,9157618.926
17,807536.086,9157611.901
18,807545.834,9157604.13
19,807548.316,9157656.573
20,807539.692,9157683.084
